Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Manufacturer,LCSC,Type,Dielectric,Voltage,Tolerance,Mouser PN,Voltage Rating,PROD_ID,Color,MF,Description_1,Price,Check_prices,SnapEDA_Link,MP,Availability,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,STANDARD,PARTREV,Purchase-URL,SNAPEDA_PN,Series
J15,1,TERM TX,Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J16,1,TERM RX,Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J17,1,SLR,Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J2,1,HD-B(Z),Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J3,1,TERM (A/B),Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J4,1,TERM (Y/Z),Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J5,1,TERM BLK 4POS 5mm TH,PHOENIX_1190299,"Through Hole,P=5mm",1190299,Yes,tht,4 Position Wire to Board Terminal Block 5mm Through Hole,Phoenix Contact,C3309834,THT,,,,651-1190299,,,,Phoenix Contact,"LPT 2,5/ 4-5,0 | Phoenix Contact 1190299",None,https://www.snapeda.com/parts/1190299/Phoenix+Contact/view-part/?ref=eda,https://www.snapeda.com/parts/1190299/Phoenix+Contact/view-part/?ref=snap,1190299,In Stock,PHOENIX,,,,,,
J6,1,CONN D-SUB PLUG 9POS TH,CONN9_2301843-2_TEC,Through Hole,2301843-2,Yes,tht,"Connector D-Sub, Male 9 Position 2 Row Through Hole",TE Connectivity,C591554,THT,,,,571-2301843-2,,,,,,,,,,,,,,,,,
J7,1,TCVR PWR,Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
J8,1,TX LED,Samtec HTSW-103-07-F-S,"Through Hole,P=2.54mm",HTSW-103-07-F-S,Yes,tht,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -55℃~+125℃,Samtec,C5714562,THT,,,,200-HTSW10307GS,Jumper Default= 1-2,,,,,,,,,,,,,,,,
